click_id,timestamp,user_id,campaign_id,publisher_id,device,geo
66,2026-01-17 18:09:16.035227,1588,36,19,android,UK
67,2026-01-26 06:07:16.035230,3458,35,8,desktop,IN
68,2026-02-16 19:52:16.035232,1376,17,12,desktop,US
69,2026-01-22 18:46:16.035235,2407,28,11,desktop,IN
70,2026-01-04 06:35:16.035238,2869,14,9,desktop,US
71,2026-01-05 02:33:16.035240,4223,34,4,desktop,IN
72,2026-01-08 22:27:16.035243,4906,48,7,desktop,IN
73,2026-01-28 19:39:16.035246,1750,11,17,desktop,IN
74,2025-12-21 14:31:16.035248,1626,13,11,desktop,CA
75,2025-12-16 14:25:16.035251,4390,33,2,desktop,US
76,2026-01-31 21:58:16.035254,4440,2,18,android,CA
77,2026-02-15 13:10:16.035256,2629,34,12,desktop,IN
78,2025-12-19 19:41:16.035259,1994,29,9,desktop,AU
79,2026-01-26 12:07:16.035262,2583,37,11,ios,UK
80,2025-12-22 02:17:16.035264,1702,4,5,ios,US
81,2026-02-22 20:28:16.035267,3509,12,7,ios,US
82,2025-12-23 04:55:16.035270,3059,26,1,desktop,UK
83,2026-01-15 22:53:16.035272,2179,28,5,android,CA
84,2025-12-23 04:32:16.035280,4755,3,6,android,UK
85,2026-02-07 09:57:16.035283,1476,20,13,ios,AU
86,2026-02-06 16:24:16.035285,3986,10,11,ios,IN
87,2026-01-03 02:59:16.035288,1400,18,8,desktop,UK
88,2025-12-28 01:26:16.035291,3855,27,2,android,UK
89,2026-02-17 02:56:16.035293,3224,31,15,android,IN
90,2025-12-25 06:37:16.035296,4412,27,10,ios,US
91,2026-02-15 02:19:16.035299,1056,42,8,android,AU
92,2026-01-10 07:40:16.035301,4926,1,2,ios,UK
93,2025-12-25 07:05:16.035304,2875,6,15,ios,UK
94,2026-01-27 09:45:16.035307,1447,11,6,desktop,US
95,2026-02-17 14:33:16.035310,1202,34,5,ios,AU
96,2026-01-28 03:20:16.035313,4768,39,3,desktop,IN
97,2026-01-18 23:50:16.035316,2656,20,11,android,IN
98,2026-01-12 00:56:16.035318,1737,21,11,android,CA
99,2026-01-20 13:00:16.035321,1201,21,16,ios,AU
100,2026-01-26 05:50:16.035324,2353,18,3,ios,AU
101,2026-02-21 18:36:16.035326,3410,21,9,desktop,UK
102,2026-01-11 02:12:16.035329,1891,19,3,desktop,CA
103,2026-01-07 15:21:16.035332,3501,4,19,android,IN
104,2026-02-21 16:29:16.035334,3403,13,11,android,AU
105,2026-01-21 02:14:16.035337,1215,18,14,ios,AU
106,2026-02-19 21:46:16.035340,4019,29,2,ios,US
107,2025-12-24 18:26:16.035343,3602,25,7,desktop,IN
108,2026-01-27 03:00:16.035345,3934,13,10,ios,US
109,2026-01-31 12:45:16.035348,1022,27,10,desktop,CA
110,2026-02-13 20:18:16.035351,3202,19,1,android,AU
111,2026-01-11 14:26:16.035355,2209,49,6,android,CA
112,2026-02-14 18:18:16.035357,3296,1,14,ios,US
113,2026-01-27 17:04:16.035360,1748,38,2,desktop,IN
114,2026-02-21 02:03:16.035363,1804,19,6,ios,AU
115,2026-02-04 21:50:16.035365,1133,1,1,ios,IN
116,2026-01-09 18:19:16.035368,1320,40,3,desktop,CA
117,2026-01-18 06:33:16.035370,3437,17,4,ios,UK
118,2026-02-07 19:42:16.035373,1433,21,13,desktop,IN
119,2026-02-17 17:32:16.035376,2045,22,3,desktop,IN
120,2026-02-02 08:29:16.035378,1872,15,15,ios,IN
121,2025-12-30 23:21:16.035381,4671,39,13,desktop,AU
122,2026-01-18 06:28:16.035384,4736,48,11,android,CA
123,2025-12-23 15:49:16.035386,4196,39,4,android,CA
124,2026-01-30 02:22:16.035389,4150,32,17,android,AU
125,2025-12-31 19:51:16.035392,3905,49,5,android,IN
126,2025-12-30 07:09:16.035394,3098,4,8,ios,IN
127,2025-12-18 15:30:16.035397,4799,44,10,android,UK
128,2025-12-26 18:33:16.035400,3223,45,7,android,IN
129,2026-01-10 13:49:16.035403,3917,32,17,android,US
130,2026-02-15 22:39:16.035407,1252,4,7,android,IN
131,2026-02-06 12:26:16.035409,1965,1,19,ios,UK
132,2026-01-05 12:52:16.035412,4317,33,9,android,US
133,2025-12-17 11:46:16.035415,1738,7,2,desktop,UK
134,2026-02-17 22:14:16.035417,2129,9,19,desktop,UK
135,2025-12-30 11:35:16.035420,4264,1,6,ios,CA
136,2026-02-04 14:58:16.035423,2339,16,10,ios,AU
137,2026-01-17 18:12:16.035425,1301,18,13,ios,UK
138,2025-12-27 22:56:16.035428,3595,47,2,android,IN
139,2025-12-16 22:38:16.035431,2977,6,10,ios,CA
140,2026-02-18 18:14:16.035434,3763,2,10,android,US
141,2025-12-22 09:02:16.035436,3826,9,5,ios,AU
142,2026-02-23 09:58:16.035439,3315,4,4,desktop,CA
143,2025-12-25 02:30:16.035442,4241,45,2,desktop,UK
144,2025-12-24 12:27:16.035445,4057,23,7,android,CA
145,2026-02-07 07:05:16.035447,1550,43,18,ios,IN
146,2026-01-19 09:28:16.035450,2478,45,17,desktop,IN
147,2026-01-19 19:49:16.035453,4722,43,11,android,IN
148,2026-01-16 20:56:16.035455,2315,8,18,desktop,AU
149,2025-12-24 11:45:16.035458,2587,39,8,ios,CA
150,2026-02-10 23:03:16.035462,2822,25,12,android,CA
151,2025-12-29 18:08:16.035464,2824,16,1,desktop,UK
152,2026-01-04 14:54:16.035467,2164,35,12,ios,US
153,2026-01-15 15:20:16.035470,4217,17,6,android,IN
154,2026-01-07 21:10:16.035473,4496,18,3,desktop,US
155,2026-01-31 01:37:16.035477,1313,27,5,desktop,US
156,2026-01-15 19:04:16.035480,1183,15,14,android,IN
157,2026-01-11 01:41:16.035483,2687,17,12,ios,IN
158,2025-12-28 19:10:16.035485,1712,43,13,android,UK
159,2026-01-02 03:54:16.035488,3175,5,13,desktop,AU
160,2025-12-20 16:18:16.035491,2310,16,17,desktop,IN
161,2026-02-08 01:45:16.035494,4894,15,15,desktop,US
162,2026-01-24 06:59:16.035496,4324,42,6,ios,UK
163,2026-01-10 02:00:16.035499,4849,46,12,desktop,CA
164,2026-01-25 00:07:16.035502,3747,34,2,desktop,UK
165,2026-01-20 11:24:16.035505,3433,48,4,android,IN
166,2026-02-21 16:31:16.035507,4301,19,12,desktop,IN
167,2025-12-19 14:01:16.035510,1270,8,3,android,AU
168,2025-12-19 09:45:16.035513,2794,47,17,desktop,UK
169,2026-01-06 12:41:16.035515,1810,10,6,android,IN
170,2026-02-05 13:05:16.035518,3462,5,17,android,US
171,2026-01-20 13:59:16.035521,1197,48,17,android,US
172,2026-01-24 17:43:16.035523,4394,26,11,android,UK
173,2026-02-08 09:30:16.035526,2079,22,7,ios,AU
174,2026-02-11 00:37:16.035529,3878,44,2,desktop,UK
175,2026-02-05 10:19:16.035532,2226,23,19,ios,AU
176,2026-01-01 22:38:16.035535,4854,13,2,desktop,US
177,2026-02-12 15:37:16.035537,2644,9,13,android,IN
178,2026-02-08 07:08:16.035540,1627,49,16,desktop,CA
179,2026-01-23 19:42:16.035543,1603,20,17,android,IN
180,2026-02-07 01:08:16.035546,2161,28,11,desktop,US
181,2026-02-02 16:04:16.035548,2445,44,9,android,US
182,2026-01-08 03:22:16.035551,4886,37,9,desktop,IN
183,2026-01-11 22:31:16.035554,2080,24,14,desktop,IN
184,2026-02-18 20:28:16.035556,2585,44,13,desktop,US
185,2025-12-21 02:57:16.035560,4057,33,11,android,IN
186,2026-01-16 08:28:16.035562,3118,20,12,desktop,CA
187,2026-02-16 23:30:16.035565,1910,48,3,android,CA
188,2026-01-14 05:51:16.035568,4985,30,1,ios,UK
189,2026-02-08 07:25:16.035570,1593,44,8,desktop,CA
190,2026-02-19 17:14:16.035573,2395,9,19,android,US
191,2025-12-19 16:28:16.035576,4688,45,13,android,US
192,2026-02-20 22:56:16.035578,1599,49,7,android,UK
193,2025-12-17 20:20:16.035581,1513,17,13,ios,AU
194,2025-12-17 10:26:16.035584,2895,36,6,android,UK
195,2026-02-14 03:39:16.035587,3131,14,3,ios,AU
196,2026-01-08 14:05:16.035589,4041,19,6,ios,AU
197,2026-01-30 09:58:16.035592,2066,7,3,android,IN
198,2026-01-03 11:54:16.035595,4737,3,13,desktop,CA
199,2025-12-20 14:07:16.035598,3886,33,13,ios,AU
200,2026-01-12 03:17:16.035600,2957,44,13,android,IN
201,2025-12-19 00:05:16.035603,3653,32,1,ios,UK
202,2026-01-06 18:04:16.035673,1809,47,8,android,UK
203,2026-01-16 19:00:16.035678,3180,11,5,android,AU
204,2026-01-19 03:19:16.035680,4466,42,17,ios,IN
205,2026-01-22 05:08:16.035684,2088,2,9,android,US
206,2026-01-27 05:31:16.035686,1289,26,13,ios,CA
207,2026-01-11 12:01:16.035689,3423,4,13,android,AU
208,2025-12-27 18:33:16.035691,1768,17,5,desktop,US
209,2026-01-17 22:31:16.035694,3514,17,14,desktop,CA
210,2026-01-09 04:46:16.035697,4969,28,11,ios,US
211,2025-12-23 10:10:16.035699,4284,30,14,ios,IN
212,2026-02-07 03:00:16.035702,4219,40,7,ios,AU
213,2026-01-07 21:52:16.035705,4644,23,17,ios,US
214,2025-12-26 02:28:16.035707,1470,46,4,desktop,US
215,2025-12-20 19:00:16.035710,3196,24,10,ios,US
216,2026-02-04 23:48:16.035713,1087,29,10,android,AU
217,2025-12-20 03:15:16.035715,4395,4,15,android,IN
218,2026-02-22 23:10:16.035718,4966,38,12,ios,IN
219,2025-12-23 00:00:16.035720,3443,29,9,android,US
220,2026-01-27 17:41:16.035723,1789,19,3,ios,IN
221,2026-02-18 10:12:16.035726,4475,27,15,android,CA
222,2026-01-15 21:24:16.035728,4153,29,12,android,IN
223,2026-01-22 02:47:16.035731,2664,36,15,ios,US
224,2025-12-25 01:52:16.035734,2309,35,1,ios,CA
225,2026-01-19 05:45:16.035736,4453,6,15,desktop,AU
226,2026-02-05 06:55:16.035739,1864,23,11,ios,UK
227,2025-12-24 19:49:16.035742,4863,39,5,desktop,IN
228,2026-01-10 07:10:16.035744,2293,46,7,ios,CA
229,2026-01-05 14:57:16.035747,4363,44,12,android,UK
230,2026-01-17 23:42:16.035750,4524,48,6,desktop,AU
231,2025-12-17 03:38:16.035752,4786,8,3,android,UK
232,2026-02-14 17:56:16.035755,1023,2,10,ios,AU
233,2026-02-05 23:02:16.035758,4003,13,4,ios,US
234,2026-01-28 18:07:16.035761,2886,40,13,ios,US
235,2026-01-07 10:21:16.035764,1310,21,19,ios,AU
236,2026-01-18 09:21:16.035767,2484,31,5,desktop,UK
237,2026-01-08 21:51:16.035769,2231,48,18,desktop,IN
238,2025-12-23 17:19:16.035772,4863,36,1,ios,UK
239,2026-01-30 11:06:16.035775,4788,48,16,android,UK
240,2025-12-29 13:41:16.035777,3711,38,16,desktop,IN
241,2026-02-07 19:33:16.035780,3485,27,16,android,UK
242,2026-02-06 01:40:16.035783,4609,36,19,ios,UK
243,2025-12-20 17:00:16.035786,1705,48,16,desktop,CA
244,2026-01-25 07:37:16.035789,2359,23,1,desktop,AU
245,2025-12-25 16:42:16.035791,1421,21,10,desktop,US
246,2026-01-18 16:21:16.035794,2773,13,2,android,AU
247,2026-02-12 15:36:16.035797,3368,37,14,ios,UK
248,2025-12-21 17:38:16.035799,4568,47,8,ios,IN
249,2026-01-19 23:13:16.035802,3634,26,6,desktop,IN
250,2026-02-21 14:33:16.035804,1946,40,3,desktop,US
251,2026-01-15 11:54:16.035807,2186,7,16,ios,US
252,2026-01-04 12:02:16.035810,2834,46,17,android,US
253,2026-01-30 10:10:16.035812,2564,39,12,desktop,IN
254,2025-12-19 01:42:16.035815,4236,22,19,android,UK
255,2026-02-15 15:13:16.035818,1848,39,3,android,US
256,2026-02-21 12:53:16.035821,4769,23,13,ios,US
257,2026-01-07 20:14:16.035824,2589,30,16,ios,IN
258,2025-12-27 09:21:16.035826,2318,18,11,android,UK
259,2026-02-17 12:44:16.035829,3089,42,16,android,US
260,2025-12-26 14:28:16.035832,2947,18,2,ios,UK
261,2025-12-27 07:25:16.035834,2308,46,4,desktop,CA
262,2026-01-05 01:09:16.035837,3986,10,4,android,US
263,2025-12-24 00:30:16.035840,1386,39,17,desktop,US
264,2026-02-15 20:13:16.035842,3035,30,1,android,IN
265,2026-01-28 12:20:16.035845,2161,26,1,ios,CA
266,2026-02-22 07:22:16.035848,4258,7,5,desktop,CA
267,2026-02-17 21:29:16.035850,3025,7,12,ios,CA
268,2026-01-03 09:48:16.035853,3957,5,6,android,AU
269,2026-01-27 05:00:16.035856,1715,1,6,ios,IN
270,2026-01-21 17:50:16.035859,3478,46,17,desktop,IN
271,2026-02-08 08:06:16.035861,3601,18,13,ios,US
272,2025-12-25 20:23:16.035864,4933,13,8,desktop,IN
273,2026-01-12 09:31:16.035867,4487,25,12,ios,US
274,2026-02-02 12:18:16.035869,3847,40,15,ios,US
275,2026-02-11 23:58:16.035872,1425,8,19,desktop,AU
276,2026-01-22 00:41:16.035874,2439,10,17,desktop,IN
277,2025-12-18 11:23:16.035877,3073,32,9,desktop,IN
278,2025-12-22 13:09:16.035880,4442,17,18,android,AU
279,2026-02-12 04:33:16.035883,1384,38,2,ios,AU
280,2025-12-31 19:53:16.035885,1055,15,11,desktop,IN
281,2026-02-22 03:15:16.035888,4324,15,17,android,IN
282,2026-02-01 14:28:16.035891,3681,48,18,android,US
283,2026-02-09 00:32:16.035894,1105,40,15,desktop,UK
284,2026-02-02 19:49:16.035897,4201,20,7,desktop,US
285,2026-01-11 21:30:16.035899,3896,15,16,desktop,CA
286,2026-01-04 01:50:16.035902,1669,35,1,android,CA
287,2026-01-24 16:28:16.035904,1375,6,18,android,UK
288,2026-02-18 10:04:16.035907,1742,30,8,ios,AU
289,2026-01-24 22:42:16.035909,1966,8,7,android,CA
290,2026-02-13 00:53:16.035912,1307,31,2,desktop,AU
291,2026-01-18 20:37:16.035914,3138,48,12,ios,AU
292,2026-01-08 05:54:16.035917,4464,47,16,ios,US
293,2026-02-20 10:25:16.035919,4605,32,9,ios,AU
294,2026-02-19 04:29:16.035922,1801,45,11,ios,UK
295,2026-01-13 13:24:16.035925,1109,15,15,desktop,US
296,2026-02-15 02:21:16.035927,4632,18,3,ios,UK
297,2026-02-03 05:05:16.035930,2664,13,13,desktop,AU
298,2026-02-14 14:50:16.035932,3632,24,13,android,CA
299,2026-01-31 20:13:16.035935,1339,40,2,desktop,AU
300,2026-02-19 17:05:16.035938,2588,14,6,ios,UK
301,2026-01-17 12:13:16.035940,1978,28,6,android,IN
302,2026-01-12 00:17:16.035943,3403,11,12,android,IN
303,2026-01-20 23:30:16.035945,2915,6,4,android,CA
304,2026-02-21 18:47:16.035948,1167,25,5,ios,UK
305,2026-01-27 22:04:16.035951,1556,1,8,desktop,CA
306,2025-12-28 14:26:16.035954,4523,25,6,desktop,US
307,2026-02-22 00:44:16.035957,1904,2,3,ios,AU
308,2026-01-06 23:47:16.035959,1104,32,8,ios,US
309,2026-01-21 22:29:16.035962,3047,13,19,android,IN
310,2026-02-08 17:27:16.035966,3197,33,11,desktop,AU
311,2025-12-31 17:39:16.035968,1145,32,18,ios,US
312,2026-02-21 13:35:16.035971,3763,24,10,ios,IN
313,2026-01-12 02:29:16.035974,1873,27,12,desktop,US
314,2026-01-19 18:16:16.035976,1298,4,8,android,AU
315,2025-12-20 03:45:16.035979,4238,24,19,android,US
316,2025-12-22 20:52:16.035982,2736,23,16,android,AU
317,2026-01-27 20:17:16.035984,1645,29,18,desktop,US
318,2026-02-07 08:36:16.035987,3770,34,9,ios,CA
319,2025-12-22 01:52:16.035990,4119,21,4,ios,US
320,2025-12-25 06:13:16.035992,1637,30,9,ios,US
321,2026-02-20 18:57:16.035995,3286,26,2,ios,CA
322,2026-01-13 16:13:16.035998,4078,20,9,desktop,IN
323,2026-02-08 00:05:16.036000,3511,16,9,android,AU
324,2026-01-22 11:10:16.036003,3500,3,18,android,UK
325,2025-12-16 10:42:16.036006,1783,49,11,android,IN
326,2025-12-25 13:08:16.036009,1896,37,13,android,AU
327,2026-01-05 18:13:16.036011,1370,40,6,ios,US
328,2026-01-23 23:00:16.036014,4620,44,9,ios,IN
329,2026-01-05 21:13:16.036017,1486,25,16,desktop,US
330,2026-01-26 05:06:16.036019,4282,23,4,android,IN
331,2026-01-22 22:39:16.036022,3037,44,2,ios,IN
332,2026-02-09 18:54:16.036024,3212,1,7,ios,UK
333,2026-02-11 10:55:16.036027,4196,33,15,ios,CA
334,2026-02-18 18:31:16.036030,2360,15,6,android,IN
335,2025-12-30 01:35:16.036032,1191,17,11,ios,US
336,2026-01-21 16:31:16.036035,1729,34,17,android,UK
337,2026-02-21 04:08:16.036038,3261,17,4,android,IN
338,2026-01-02 23:14:16.036040,3621,41,19,desktop,CA
339,2026-01-01 15:11:16.036043,4399,44,7,desktop,US
340,2026-02-19 11:09:16.036046,1956,4,11,android,UK
341,2026-02-09 20:26:16.036048,1380,13,13,android,AU
342,2026-02-02 04:58:16.036051,3720,4,3,android,CA
343,2026-01-20 06:27:16.036054,4649,7,14,ios,AU
344,2026-01-20 22:40:16.036056,1797,46,2,ios,AU
345,2026-01-17 00:39:16.036059,1238,9,18,ios,UK
346,2025-12-17 13:56:16.036062,4603,23,5,desktop,UK
347,2026-01-26 22:14:16.036064,3747,33,13,android,UK
348,2026-02-19 16:04:16.036067,2105,33,13,ios,AU
349,2025-12-19 19:44:16.036069,2386,20,14,ios,US
350,2025-12-20 20:25:16.036072,3552,4,12,desktop,UK
351,2026-01-26 06:00:16.036075,3249,1,13,desktop,CA
352,2026-01-02 19:01:16.036077,3967,42,18,android,UK
353,2026-01-22 19:30:16.036080,2527,34,13,android,UK
354,2026-01-15 02:09:16.036083,2667,27,4,ios,UK
355,2026-01-03 08:20:16.036086,1036,21,10,ios,AU
356,2026-01-15 07:53:16.036089,3691,24,5,ios,US
357,2026-02-10 15:35:16.036092,4660,15,18,ios,UK
358,2026-01-24 08:40:16.036094,4672,35,8,ios,AU
359,2025-12-27 22:15:16.036097,2996,25,14,desktop,CA
360,2026-01-29 09:52:16.036100,2425,9,2,android,US
361,2026-01-24 07:59:16.036102,3812,17,8,desktop,AU
362,2026-01-21 18:42:16.036105,4927,21,16,android,IN
363,2026-01-31 21:29:16.036108,3753,13,7,android,CA
364,2026-01-10 15:56:16.036110,4247,3,3,android,CA
365,2026-01-31 01:36:16.036113,3592,4,4,desktop,IN
366,2026-02-10 13:33:16.036115,4641,4,7,ios,AU
367,2026-02-21 04:24:16.036118,2490,43,4,android,AU
368,2025-12-18 08:52:16.036121,2224,28,9,android,CA
369,2026-02-23 08:23:16.036124,3587,7,17,desktop,AU
370,2026-01-23 03:28:16.036126,4618,26,17,desktop,IN
371,2026-01-08 13:29:16.036129,4064,11,14,ios,AU
372,2026-01-16 21:24:16.036132,3022,24,14,ios,CA
373,2026-01-08 21:58:16.036134,4708,43,13,android,AU
374,2026-02-16 06:32:16.036137,3441,10,4,desktop,US
375,2026-02-19 07:42:16.036140,1832,37,13,ios,IN
376,2026-01-19 14:28:16.036142,4113,13,17,ios,IN
377,2025-12-26 07:30:16.036145,1596,44,15,ios,UK
378,2026-02-05 01:23:16.036147,3440,42,18,desktop,AU
379,2026-01-30 13:00:16.036150,1699,39,11,desktop,IN
380,2026-01-31 19:39:16.036153,2646,19,4,desktop,AU
381,2026-02-07 12:31:16.036156,4854,19,11,desktop,US
382,2026-01-08 15:39:16.036158,3018,12,10,desktop,CA
383,2026-01-18 12:39:16.036161,1440,22,13,android,CA
384,2026-01-29 02:53:16.036164,2860,47,8,android,UK
385,2026-01-03 20:53:16.036167,2640,37,13,desktop,UK
386,2026-02-20 18:30:16.036169,2529,30,9,android,IN
387,2026-02-15 20:31:16.036172,3965,46,1,desktop,IN
388,2026-02-11 00:14:16.036175,3367,12,1,android,IN
389,2026-01-29 17:07:16.036177,3600,29,15,android,US
390,2026-01-15 00:06:16.036180,4286,21,4,ios,UK
391,2025-12-28 13:30:16.036182,2094,11,1,desktop,UK
392,2026-02-16 02:35:16.036185,1567,37,12,android,CA
393,2025-12-16 07:31:16.036188,3966,48,11,android,UK
394,2026-01-23 07:07:16.036190,1235,18,19,ios,UK
395,2026-01-08 12:04:16.036193,2304,44,15,android,US
396,2026-02-04 06:53:16.036196,4034,27,10,ios,IN
397,2025-12-31 08:15:16.036198,4688,37,1,android,US
398,2026-01-16 12:56:16.036201,4973,48,3,ios,AU
399,2026-02-19 12:43:16.036204,4958,12,14,ios,CA
400,2026-02-10 05:34:16.036206,2185,23,15,desktop,CA
401,2026-01-20 01:15:16.036209,4262,34,1,desktop,CA
402,2026-01-19 03:31:16.036215,2032,38,10,android,IN
403,2026-02-03 00:12:16.036217,3107,23,1,desktop,IN
404,2026-02-16 03:57:16.036220,3940,25,15,desktop,IN
405,2026-02-17 12:08:16.036225,2840,4,3,desktop,CA
406,2025-12-23 19:53:16.036228,1224,30,12,android,CA
407,2025-12-24 18:19:16.036230,2842,30,19,android,CA
408,2025-12-23 02:52:16.036233,3747,13,16,desktop,AU
409,2026-01-05 17:28:16.036235,1581,42,8,desktop,AU
410,2026-02-21 21:56:16.036238,4876,49,14,android,CA
411,2025-12-31 16:29:16.036241,4358,14,18,desktop,IN
412,2026-02-18 22:29:16.036243,4041,47,1,ios,IN
413,2026-01-05 22:13:16.036246,1168,8,2,android,AU
414,2026-01-01 11:35:16.036249,4133,24,12,android,AU
415,2025-12-22 07:21:16.036251,4420,18,17,ios,CA
416,2025-12-24 12:02:16.036254,2465,35,2,desktop,CA
417,2026-01-15 19:58:16.036257,1013,25,17,ios,IN
418,2026-02-14 06:01:16.036259,3211,17,7,desktop,UK
419,2026-02-01 06:27:16.036262,2443,32,6,desktop,IN
420,2025-12-30 22:27:16.036265,3804,24,6,android,IN
421,2026-02-15 22:38:16.036267,2870,7,8,android,CA
422,2025-12-16 16:47:16.036270,2543,13,5,desktop,UK
423,2025-12-20 09:16:16.036277,2689,27,15,ios,UK
424,2026-01-17 19:23:16.036279,2571,48,7,android,CA
425,2026-01-20 00:38:16.036282,4631,5,3,desktop,US
426,2026-01-19 15:04:16.036285,4668,36,10,android,CA
427,2026-02-07 19:27:16.036287,2051,26,3,android,AU
428,2026-01-15 22:35:16.036290,2731,42,14,android,UK
429,2025-12-18 07:39:16.036293,1445,45,3,ios,CA
430,2026-01-15 05:03:16.036295,4279,31,1,ios,IN
431,2026-02-02 00:20:16.036298,4541,10,1,desktop,IN
432,2026-01-05 17:31:16.036301,1715,46,19,ios,IN
433,2026-01-17 17:58:16.036303,4023,26,4,desktop,CA
434,2025-12-19 09:19:16.036306,1818,22,2,desktop,US
435,2026-02-12 21:46:16.036309,3151,12,11,android,AU
436,2026-01-07 07:37:16.036311,3789,32,12,android,IN
437,2025-12-21 03:12:16.036314,1425,27,13,ios,CA
438,2025-12-29 21:49:16.036317,2124,33,16,desktop,US
439,2026-02-10 00:16:16.036319,2564,20,16,desktop,UK
440,2026-02-21 10:33:16.036322,3686,39,19,android,UK
441,2026-01-20 16:57:16.036325,1849,41,9,android,AU
442,2025-12-25 01:02:16.036327,2545,40,16,android,CA
443,2025-12-24 23:29:16.036330,2129,13,7,ios,CA
444,2026-01-17 01:03:16.036333,2702,14,13,desktop,IN
445,2026-01-08 10:32:16.036335,3001,44,4,desktop,US
446,2026-01-14 01:09:16.036338,3816,40,13,desktop,AU
447,2026-01-15 13:05:16.036340,4878,22,8,android,US
448,2026-02-01 06:31:16.036343,1276,18,2,ios,AU
449,2026-01-06 04:06:16.036346,4136,48,7,ios,CA
450,2025-12-29 11:46:16.036348,2806,29,11,android,CA
451,2026-01-26 23:10:16.036351,3947,43,17,ios,AU
452,2026-01-04 03:09:16.036354,3235,16,14,ios,US
